Merge sort
1000,4
10000,50
20000,133
30000,280
40000,476
50000,709
60000,1008
70000,1392
80000,1964
90000,2546
100000,3081

Bubble sort
1000,19
10000,1048
20000,3252
30000,8169
40000,14445
50000,22591
60000,38511
70000,59362
80000,72410
90000,101450
100000,168123
